iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
1,0,2,4,5,1471,[4_4],[],[4_4]
1,1,1,23,4,1269,[23_5],[],[23_5]
1,2,2,19,8,2462,[19_9],[],[19_9]
1,3,1,23,24,2297,[23_23],[],[23_23]
1,4,1,1,24,2156,[0_24],[],[0_24]
1,5,1,16,17,2419,[16_17],[],[16_17]
1,6,2,19,17,808,[18_17],[],[18_17]
1,7,2,14,21,853,[15_21],[],[15_21]
1,8,2,20,8,1641,[20_9],[],[20_9]
1,9,2,1,16,2194,[1_16],[],[1_16]
2,0,2,3,5,1472,[4_4];[4_5],[0;2;6;7;8;9],[4_4];[4_5]
2,1,1,24,4,1270,[23_4];[23_5],[1;3;4;5],[23_5];[23_4]
2,2,2,21,8,2463,[19_9];[21_8];[19_8],[0;2;6;7;8;9],[19_9];[19_8];[21_8]
2,3,1,24,24,2298,[23_23];[23_24],[1;3;4;5],[23_23];[23_24]
2,4,1,1,23,2157,[1_24];[0_24],[1;3;4;5],[0_24];[1_24]
2,5,1,16,18,2420,[16_17],[1;3;4;5],[16_17];[16_17]
2,6,2,19,16,809,[19_17];[18_17],[0;2;6;7;8;9],[18_17];[19_17]
2,7,2,13,21,854,[15_21];[14_21],[0;2;6;7;8;9],[15_21];[14_21]
2,8,2,19,8,1642,[20_9];[20_8],[0;2;6;7;8;9],[20_9];[20_8]
2,9,2,0,16,2195,[1_16],[0;2;6;7;8;9],[1_16];[1_16]
3,0,2,3,6,1473,[3_5];[4_4];[4_5],[0;2;6;7;8;9],[4_4];[4_5];[3_5]
3,1,1,24,5,1271,[23_4];[23_5];[24_5],[1;3;4;5],[23_5];[23_4];[24_5]
3,2,2,22,8,2464,[19_9];[21_8];[19_8],[0;2;6;7;8;9],[19_8];[21_8];[21_8]
3,3,1,23,24,2299,[24_24];[23_23];[23_24],[1;3;4;5],[23_23];[23_24];[24_24]
3,4,1,1,24,2158,[1_24];[1_23];[0_24],[1;3;4;5],[0_24];[1_24];[1_23]
3,5,1,16,19,2421,[16_17];[16_18],[1;3;4;5],[16_17];[16_17];[16_18]
3,6,2,19,15,810,[19_15];[19_17];[18_17],[0;2;6;7;8;9],[18_17];[19_17];[19_15]
3,7,2,14,21,855,[13_21];[15_21];[14_21],[0;2;6;7;8;9],[15_21];[14_21];[13_21]
3,8,2,20,8,1643,[19_8];[20_9];[20_8],[0;2;6;7;8;9],[20_9];[20_8];[19_8]
3,9,2,0,16,2196,[0_16];[1_16],[0;2;6;7;8;9],[1_16];[1_16];[0_16]
4,0,2,3,5,1474,[3_5];[4_4];[4_5],[0;2;6;7;8;9],[4_5];[3_5];[3_5]
4,1,1,24,4,1272,[23_4];[23_5];[24_5],[1;3;4;5],[23_4];[24_5];[24_5]
4,2,2,22,7,2465,[21_8];[19_8];[19_9];[22_8],[0;2;6;7;8;9],[21_8];[21_8];[22_8]
4,3,1,24,24,2300,[24_24];[23_23];[23_24],[1;3;4;5],[23_24];[24_24];[23_24]
4,4,1,1,23,2159,[1_24];[1_23];[0_24],[1;3;4;5],[1_24];[1_23];[1_24]
4,5,1,16,18,2422,[16_17];[16_18];[16_19],[1;3;4;5],[16_17];[16_18];[16_19]
4,6,2,19,16,811,[19_15];[19_17];[18_17],[0;2;6;7;8;9],[19_17];[19_15];[19_15]
4,7,2,13,21,856,[13_21];[15_21];[14_21],[0;2;6;7;8;9],[14_21];[13_21];[14_21]
4,8,2,20,7,1644,[19_8];[20_9];[20_8];[20_7],[0;2;6;7;8;9],[20_8];[19_8];[20_7]
4,9,2,1,16,2197,[0_16];[1_16],[0;2;6;7;8;9],[1_16];[0_16];[1_16]
5,0,2,3,4,1475,[3_4];[3_5];[4_4];[4_5],[0;2;6;7;8;9],[3_5];[3_5];[3_4]
5,1,1,23,4,1273,[23_5];[24_4];[23_4];[24_5],[1;3;4;5],[24_5];[24_5];[24_4]
5,2,2,22,6,2466,[21_8];[19_8];[19_9];[22_6];[22_8],[0;2;6;7;8;9],[21_8];[22_8];[22_6]
5,3,1,24,23,2301,[24_23];[24_24];[23_23];[23_24],[1;3;4;5],[24_24];[23_24];[24_23]
5,4,1,1,23,2160,[1_24];[1_23];[0_24],[1;3;4;5],[1_23];[1_23];[1_23]
5,5,1,16,19,2423,[16_17];[16_18];[16_19],[1;3;4;5],[16_18];[16_19];[16_18]
5,6,2,19,17,812,[19_15];[19_17];[18_17],[0;2;6;7;8;9],[19_15];[19_15];[19_17]
5,7,2,13,21,857,[13_21];[15_21];[14_21],[0;2;6;7;8;9],[13_21];[13_21];[13_21]
5,8,2,20,8,1645,[19_8];[20_9];[20_8];[20_7],[0;2;6;7;8;9],[19_8];[20_7];[20_7]
5,9,2,0,16,2198,[0_16];[1_16],[0;2;6;7;8;9],[0_16];[1_16];[1_16]
6,0,2,3,3,1476,[3_4];[3_5];[3_3];[4_4];[4_5],[0;2;6;7;8;9],[3_5];[3_4];[3_3]
6,1,1,23,4,1274,[23_5];[24_4];[23_4];[24_5],[1;3;4;5],[24_4];[23_4];[23_4]
