iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
1,0,2,9,10,1701,[9_11],[],[9_11]
1,1,1,13,16,1862,[13_16],[],[13_16]
1,2,2,0,7,1812,[0_7],[],[0_7]
1,3,2,24,6,1741,[24_6],[],[24_6]
1,4,2,5,20,1077,[4_20],[],[4_20]
1,5,1,10,8,1748,[9_7];[10_8],[],[9_7];[10_8]
1,6,1,14,19,790,[14_18],[],[14_18]
1,7,2,24,12,1456,[24_13],[],[24_13]
1,8,1,21,21,1685,[21_20],[],[21_20]
1,9,2,8,10,1239,[7_10],[],[7_10]
2,0,2,9,11,1702,[9_11];[9_10],[0;2;3;4;7;9],[9_11];[9_10]
2,1,1,13,17,1863,[13_16],[1;5;6;8],[13_16];[13_16]
2,2,2,0,7,1813,[0_7],[0;2;3;4;7;9],[0_7];[0_7]
2,3,2,24,5,1742,[24_6];[24_5],[0;2;3;4;7;9],[24_6];[24_5]
2,4,2,5,19,1078,[5_20];[4_20],[0;2;3;4;7;9],[4_20];[5_20]
2,5,1,9,8,1749,[9_7];[10_8],[1;5;6;8],[9_7];[10_8];[10_8]
2,6,1,13,19,791,[14_18];[14_19],[1;5;6;8],[14_18];[14_19]
2,7,2,24,11,1457,[24_13];[24_11],[0;2;3;4;7;9],[24_13];[24_11]
2,8,1,22,21,1686,[21_21];[21_20],[1;5;6;8],[21_20];[21_21]
2,9,2,7,10,1240,[7_10],[0;2;3;4;7;9],[7_10];[7_10]
3,0,2,9,10,1703,[9_11];[9_10],[0;2;3;4;7;9],[9_11];[9_10];[9_11]
3,1,1,13,18,1864,[13_17];[13_16],[1;5;6;8],[13_16];[13_16];[13_17]
3,2,2,0,7,1814,[0_7],[0;2;3;4;7;9],[0_7];[0_7];[0_7]
3,3,2,24,6,1743,[24_6];[24_5],[0;2;3;4;7;9],[24_6];[24_5];[24_5]
3,4,2,5,18,1079,[5_20];[4_20];[5_18],[0;2;3;4;7;9],[4_20];[5_20];[5_18]
3,5,1,9,7,1750,[9_7];[10_8];[9_8],[1;5;6;8],[10_8];[10_8];[9_8]
3,6,1,12,19,792,[14_18];[14_19];[12_19],[1;5;6;8],[14_18];[14_19];[12_19]
3,7,2,24,12,1458,[24_13];[24_11],[0;2;3;4;7;9],[24_13];[24_11];[24_11]
3,8,1,21,20,1687,[21_21];[22_21];[21_20],[1;5;6;8],[21_21];[22_21];[21_20]
3,9,2,8,10,1241,[7_10],[0;2;3;4;7;9],[7_10];[7_10];[7_10]
4,0,2,9,9,1704,[9_11];[9_9];[9_10],[0;2;3;4;7;9],[9_10];[9_11];[9_9]
4,1,1,13,19,1865,[13_17];[13_16];[13_19],[1;5;6;8],[13_16];[13_17];[13_19]
4,2,2,0,7,1815,[0_7],[0;2;3;4;7;9],[0_7];[0_7];[0_7]
4,3,2,24,5,1744,[24_6];[24_5],[0;2;3;4;7;9],[24_5];[24_5];[24_6]
4,4,2,5,19,1080,[5_20];[4_20];[5_18],[0;2;3;4;7;9],[5_20];[5_18];[5_18]
4,5,1,9,8,1751,[9_7];[10_8];[9_8],[1;5;6;8],[10_8];[9_8];[9_7]
4,6,1,13,19,793,[13_19];[14_19];[12_19];[14_18],[1;5;6;8],[14_19];[12_19];[13_19]
4,7,2,23,12,1459,[23_12];[24_13];[24_11],[0;2;3;4;7;9],[24_11];[24_11];[23_12]
4,8,1,21,21,1688,[21_21];[22_21];[21_20],[1;5;6;8],[22_21];[21_20];[21_20]
4,9,2,9,10,1242,[7_10];[8_10],[0;2;3;4;7;9],[7_10];[7_10];[8_10]
5,0,2,9,10,1705,[9_11];[9_9];[9_10],[0;2;3;4;7;9],[9_10];[9_9];[9_10]
5,1,1,13,18,1866,[13_17];[13_16];[13_19],[1;5;6;8],[13_17];[13_19];[13_19]
5,2,2,0,6,1816,[0_7];[0_6],[0;2;3;4;7;9],[0_6]
5,3,2,24,4,1745,[24_4];[24_6];[24_5],[0;2;3;4;7;9],[24_5];[24_5];[24_4]
5,4,2,5,18,1081,[5_20];[4_20];[5_18],[0;2;3;4;7;9],[5_18];[5_18];[5_18]
5,5,1,9,7,1752,[9_7];[10_8];[9_8],[1;5;6;8],[9_8];[9_7];[9_8]
5,6,1,13,18,794,[13_19];[14_19];[12_19];[14_18],[1;5;6;8],[12_19];[13_19];[13_19]
5,7,2,23,11,1460,[23_12];[24_13];[24_11],[0;2;3;4;7;9],[24_11];[23_12];[23_12]
5,8,1,22,21,1689,[21_21];[22_21];[21_20],[1;5;6;8],[21_20];[21_20];[21_21]
5,9,2,9,9,1243,[9_9];[7_10];[8_10],[0;2;3;4;7;9],[8_10];[9_9]
6,0,2,9,11,1706,[9_11];[9_9];[9_10],[0;2;3;4;7;9],[9_9];[9_10];[9_10]
6,1,1,13,17,1867,[13_17];[13_16];[13_19];[13_18],[1;5;6;8],[13_19];[13_19];[13_18]
6,2,2,0,7,1817,[0_7];[0_6],[0;2;3;4;7;9],[0_6];[0_6]
6,3,2,24,5,1746,[24_4];[24_6];[24_5],[0;2;3;4;7;9],[24_5];[24_4];[24_4]
6,4,2,5,19,1082,[5_20];[4_20];[5_18],[0;2;3;4;7;9],[5_18];[5_18];[5_18]
6,5,1,10,8,1753,[9_7];[10_8];[9_8],[1;5;6;8],[9_7];[9_7];[10_8]
6,6,1,13,17,795,[13_19];[14_19];[12_19];[14_18];[13_18],[1;5;6;8],[13_19];[13_19];[13_18]
6,7,2,23,10,1461,[23_12];[24_11];[24_13];[23_11],[0;2;3;4;7;9],[23_12];[23_12];[23_11]
6,8,1,21,21,1690,[21_21];[22_21];[21_20],[1;5;6;8],[21_20];[21_21];[22_21]
6,9,2,9,10,1244,[9_9];[7_10];[8_10],[0;2;3;4;7;9],[8_10];[9_9];[9_9]
7,0,2,10,10,1707,[10_10];[9_11];[9_9];[9_10],[0;2;3;4;7;9],[9_9];[9_11];[10_10]
7,1,1,13,16,1868,[13_17];[13_16];[13_19];[13_18],[1;5;6;8],[13_19];[13_18];[13_16]
7,2,2,0,6,1818,[0_7];[0_6],[0;2;3;4;7;9],[0_6];[0_6];[0_6]
7,3,2,24,6,1747,[24_4];[24_6];[24_5],[0;2;3;4;7;9],[24_4];[24_4];[24_5]
7,4,2,5,18,1083,[5_20];[4_20];[5_18],[0;2;3;4;7;9],[5_18];[5_18];[5_18]
7,5,1,9,8,1754,[9_7];[10_8];[9_8],[1;5;6;8],[9_7];[10_8];[10_8]
7,6,1,13,16,796,[13_19];[14_19];[12_19];[14_18];[13_16];[13_18],[1;5;6;8],[13_19];[13_18];[13_16]
7,7,2,24,11,1462,[23_12];[24_11];[23_10];[24_13];[23_11],[0;2;3;4;7;9],[23_11];[23_10];[24_11]
7,8,1,22,21,1691,[21_21];[22_21];[21_20],[1;5;6;8],[21_21];[22_21];[21_21]
7,9,2,10,11,1245,[7_10];[9_9];[8_10];[10_11];[9_10],[0;2;3;4;7;9],[9_9];[9_10];[10_11]
8,0,2,9,10,1708,[10_10];[9_11];[9_9];[9_10],[0;2;3;4;7;9],[9_11];[10_10];[10_10]
8,1,1,12,17,1869,[13_17];[13_16];[12_17];[13_19];[13_18],[1;5;6;8],[13_16];[13_16];[12_17]
8,2,2,0,7,1819,[0_7];[0_6],[0;2;3;4;7;9],[0_6];[0_6];[0_6]
8,3,2,24,4,1748,[24_4];[24_6];[24_5],[0;2;3;4;7;9],[24_4];[24_6];[24_4]
8,4,2,4,19,1084,[4_20];[4_19];[5_20];[5_18],[0;2;3;4;7;9],[4_19]
8,5,1,9,9,1755,[9_8];[9_9];[9_7];[10_8],[1;5;6;8],[10_8];[10_8];[9_9]
8,6,1,13,17,797,[13_19];[14_19];[12_19];[14_18];[13_16];[13_18];[13_17],[1;5;6;8],[13_18];[13_16];[13_17]
8,7,2,23,12,1463,[23_12];[24_11];[23_10];[24_13];[23_11],[0;2;3;4;7;9],[24_11];[24_11];[23_12]
8,8,1,22,20,1692,[21_21];[22_21];[22_20];[21_20],[1;5;6;8],[22_21];[21_21];[22_20]
8,9,2,9,11,1246,[9_11];[7_10];[9_9];[8_10];[10_11];[9_10],[0;2;3;4;7;9],[9_10];[10_11];[9_11]
9,0,2,9,9,1709,[10_10];[9_11];[9_9];[9_10],[0;2;3;4;7;9],[10_10];[10_10];[9_9]
9,1,1,12,18,1870,[12_18];[13_17];[13_16];[12_17];[13_19];[13_18],[1;5;6;8],[13_16];[12_17];[12_18]
9,2,2,0,7,1820,[0_7];[0_6],[0;2;3;4;7;9],[0_7]
9,3,2,24,3,1749,[24_4];[24_6];[24_5];[24_3],[0;2;3;4;7;9],[24_6];[24_3]
9,4,2,5,19,1085,[4_20];[4_19];[5_20];[5_18],[0;2;3;4;7;9],[4_19];[4_19]
9,5,1,9,10,1756,[9_10];[9_8];[9_9];[9_7];[10_8],[1;5;6;8],[10_8];[9_9];[9_10]
9,6,1,14,18,798,[13_19];[14_19];[12_19];[14_18];[13_16];[13_18];[13_17],[1;5;6;8],[13_17];[13_17];[14_18]
9,7,2,23,11,1464,[23_12];[24_11];[23_10];[24_13];[23_11],[0;2;3;4;7;9],[24_11];[23_12];[23_12]
9,8,1,22,20,1693,[21_21];[22_21];[22_20];[21_20],[1;5;6;8],[22_20];[22_20];[22_20]
9,9,2,9,10,1247,[9_11];[7_10];[9_9];[8_10];[10_11];[9_10],[0;2;3;4;7;9],[10_11];[9_11];[9_10]
10,0,2,9,10,1710,[10_10];[9_11];[9_9];[9_10],[0;2;3;4;7;9],[10_10];[9_9];[9_9]
10,1,1,11,18,1871,[12_18];[13_17];[13_16];[12_17];[13_19];[13_18],[1;5;6;8],[12_17];[12_18];[12_18]
10,2,2,0,7,1821,[0_7];[0_6],[0;2;3;4;7;9],[0_7];[0_7]
10,3,2,23,3,1750,[24_4];[24_6];[24_5];[24_3],[0;2;3;4;7;9],[24_6];[24_3];[24_3]
10,4,2,5,18,1086,[4_20];[4_19];[5_19];[5_20];[5_18],[0;2;3;4;7;9],[4_19];[4_19];[5_19]
10,5,1,9,11,1757,[9_10];[9_8];[9_9];[9_7];[10_8],[1;5;6;8],[9_9];[9_10];[9_10]
10,6,1,14,19,799,[13_19];[14_19];[12_19];[14_18];[13_16];[13_18];[13_17],[1;5;6;8],[13_17];[14_18];[14_18]
10,7,2,23,10,1465,[23_12];[24_11];[23_10];[24_13];[23_11],[0;2;3;4;7;9],[23_12];[23_12];[23_11]
10,8,1,22,21,1694,[21_21];[22_21];[22_20];[21_20],[1;5;6;8],[22_20];[22_20];[22_20]
10,9,2,10,10,1248,[9_11];[7_10];[9_9];[8_10];[10_11];[10_10];[9_10],[0;2;3;4;7;9],[10_11];[9_11];[10_10]
11,0,2,9,11,1711,[10_10];[9_11];[9_9];[9_10],[0;2;3;4;7;9],[9_9];[9_9];[9_10]
11,1,1,12,19,1872,[12_19];[13_18];[13_17];[13_16];[12_17];[11_18];[13_19];[12_18],[1;5;6;8],[12_18];[11_18];[12_19]
11,2,2,0,7,1822,[0_7];[0_6],[0;2;3;4;7;9],[0_7];[0_7];[0_7]
11,3,2,24,3,1751,[24_4];[23_3];[24_6];[24_5];[24_3],[0;2;3;4;7;9],[24_3];[24_3];[23_3]
