iteration,roamer_id,individual_id,age,age_class,sex,health_status,origin_group_id,roamer_x,roamer_y,known_groups,target_group,daily_distance,target_group_id,reached_target,stay_time,staying_with_target_group,target_cell,initial_dispersal
113,1,21,476,Yearling,male,Susceptible,1,182,227,,0,20,0,false,10,false,[319_273],true
113,2,20,2296,Adult,male,Susceptible,1,177,219,,0,20,0,false,13,false,[404_405],true
113,3,18,1932,Adult,male,Susceptible,1,182,218,,0,20,0,false,9,false,[490_319],true
113,4,16,476,Yearling,male,Susceptible,1,176,227,,0,20,0,false,6,false,[362_318],true
113,5,12,1204,Adult,male,Susceptible,1,184,219,,0,20,0,false,5,false,[434_202],true
113,6,5,2660,Adult,male,Susceptible,1,170,212,,0,20,0,false,12,false,[49_94],true
113,7,53,2660,Adult,male,Susceptible,2,365,385,,0,20,0,false,10,false,[348_535],true
113,8,52,1568,Adult,male,Susceptible,2,379,379,,0,20,0,false,13,false,[445_431],true
113,9,51,1568,Adult,male,Susceptible,2,372,372,,0,20,0,false,13,false,[41_45],true
113,10,49,1204,Adult,male,Susceptible,2,370,377,,0,20,0,false,11,false,[449_305],true
113,11,47,1568,Adult,male,Susceptible,2,366,372,,0,20,0,false,8,false,[54_106],true
113,12,45,840,Adult,male,Susceptible,2,374,386,,0,20,0,false,8,false,[501_480],true
113,13,41,2660,Adult,male,Susceptible,2,366,371,,0,20,0,false,6,false,[199_205],true
113,14,38,840,Adult,male,Susceptible,2,366,373,,0,20,0,false,7,false,[165_289],true
113,15,37,1204,Adult,male,Susceptible,2,367,369,,0,20,0,false,12,false,[67_202],true
113,16,36,1932,Adult,male,Susceptible,2,373,382,,0,20,0,false,13,false,[543_515],true
113,17,35,840,Adult,male,Susceptible,2,366,371,,0,20,0,false,13,false,[338_310],true
113,18,32,476,Yearling,male,Susceptible,2,369,371,,0,20,0,false,6,false,[25_47],true
113,19,29,1932,Adult,male,Susceptible,2,361,372,,0,20,0,false,9,false,[191_176],true
113,20,27,840,Adult,male,Susceptible,2,369,382,,0,20,0,false,10,false,[177_188],true
113,21,25,840,Adult,male,Susceptible,2,361,368,,0,20,0,false,11,false,[119_130],true
113,22,23,1204,Adult,male,Susceptible,2,377,382,,0,20,0,false,5,false,[433_431],true
113,23,79,476,Yearling,male,Susceptible,3,521,525,,0,20,0,false,9,false,[185_250],true
113,24,76,840,Adult,male,Susceptible,3,526,529,,0,20,0,false,13,false,[482_467],true
113,25,74,476,Yearling,male,Susceptible,3,524,524,,0,20,0,false,6,false,[422_394],true
113,26,71,476,Yearling,male,Susceptible,3,519,524,,0,20,0,false,9,false,[329_255],true
113,27,67,2296,Adult,male,Susceptible,3,524,527,,0,20,0,false,5,false,[340_487],true
113,28,62,1568,Adult,male,Susceptible,3,519,523,,0,20,0,false,7,false,[18_141],true
113,29,61,1204,Adult,male,Susceptible,3,526,531,,0,20,0,false,7,false,[454_253],true
113,30,60,840,Adult,male,Susceptible,3,524,528,,0,20,0,false,9,false,[404_226],true
113,31,58,476,Yearling,male,Susceptible,3,525,522,,0,20,0,false,8,false,[73_112],true
113,32,56,3024,Adult,male,Susceptible,3,524,526,,0,20,0,false,10,false,[11_18],true
113,33,101,2660,Adult,male,Susceptible,4,231,269,,0,20,0,false,10,false,[417_300],true
113,34,100,476,Yearling,male,Susceptible,4,239,266,,0,20,0,false,10,false,[302_267],true
113,35,99,476,Yearling,male,Susceptible,4,238,264,,0,20,0,false,11,false,[341_264],true
113,36,94,476,Yearling,male,Susceptible,4,241,273,,0,20,0,false,9,false,[489_464],true
113,37,92,1568,Adult,male,Susceptible,4,232,261,,0,20,0,false,10,false,[232_225],true
113,38,86,476,Yearling,male,Susceptible,4,229,259,,0,20,0,false,5,false,[96_226],true
113,39,84,476,Yearling,male,Susceptible,4,225,268,,0,20,0,false,9,false,[199_276],true
113,40,83,1568,Adult,male,Susceptible,4,239,273,,0,20,0,false,9,false,[384_532],true
113,41,81,840,Adult,male,Susceptible,4,241,268,,0,20,0,false,10,false,[423_408],true
113,42,80,1568,Adult,male,Susceptible,4,226,268,,0,20,0,false,9,false,[51_98],true
114,1,21,476,Yearling,male,Susceptible,1,189,230,,0,20,0,false,10,false,[319_273],true
114,2,20,2296,Adult,male,Susceptible,1,183,225,,0,20,0,false,13,false,[404_405],true
114,3,18,1932,Adult,male,Susceptible,1,186,219,,0,20,0,false,9,false,[490_319],true
114,4,16,476,Yearling,male,Susceptible,1,183,230,,0,20,0,false,6,false,[362_318],true
114,5,12,1204,Adult,male,Susceptible,1,188,223,,0,20,0,false,5,false,[434_202],true
114,6,5,2660,Adult,male,Susceptible,1,171,203,,0,20,0,false,12,false,[49_94],true
114,7,53,2660,Adult,male,Susceptible,2,352,396,,0,20,0,false,10,false,[348_535],true
114,8,52,1568,Adult,male,Susceptible,2,389,381,,0,20,0,false,13,false,[445_431],true
114,9,51,1568,Adult,male,Susceptible,2,369,369,,0,20,0,false,13,false,[41_45],true
114,10,49,1204,Adult,male,Susceptible,2,376,369,,0,20,0,false,11,false,[449_305],true
114,11,47,1568,Adult,male,Susceptible,2,359,369,,0,20,0,false,8,false,[54_106],true
114,12,45,840,Adult,male,Susceptible,2,378,394,,0,20,0,false,8,false,[501_480],true
114,13,41,2660,Adult,male,Susceptible,2,362,364,,0,20,0,false,6,false,[199_205],true
114,14,38,840,Adult,male,Susceptible,2,365,371,,0,20,0,false,7,false,[165_289],true
114,15,37,1204,Adult,male,Susceptible,2,359,363,,0,20,0,false,12,false,[67_202],true
114,16,36,1932,Adult,male,Susceptible,2,376,384,,0,20,0,false,13,false,[543_515],true
114,17,35,840,Adult,male,Susceptible,2,361,375,,0,20,0,false,13,false,[338_310],true
114,18,32,476,Yearling,male,Susceptible,2,369,365,,0,20,0,false,6,false,[25_47],true
114,19,29,1932,Adult,male,Susceptible,2,357,369,,0,20,0,false,9,false,[191_176],true
114,20,27,840,Adult,male,Susceptible,2,365,374,,0,20,0,false,10,false,[177_188],true
114,21,25,840,Adult,male,Susceptible,2,356,355,,0,20,0,false,11,false,[119_130],true
114,22,23,1204,Adult,male,Susceptible,2,386,389,,0,20,0,false,5,false,[433_431],true
114,23,79,476,Yearling,male,Susceptible,3,512,516,,0,20,0,false,9,false,[185_250],true
114,24,76,840,Adult,male,Susceptible,3,518,520,,0,20,0,false,13,false,[482_467],true
114,25,74,476,Yearling,male,Susceptible,3,522,522,,0,20,0,false,6,false,[422_394],true
114,26,71,476,Yearling,male,Susceptible,3,515,520,,0,20,0,false,9,false,[329_255],true
114,27,67,2296,Adult,male,Susceptible,3,518,518,,0,20,0,false,5,false,[340_487],true
114,28,62,1568,Adult,male,Susceptible,3,517,523,,0,20,0,false,7,false,[18_141],true
114,29,61,1204,Adult,male,Susceptible,3,521,527,,0,20,0,false,7,false,[454_253],true
114,30,60,840,Adult,male,Susceptible,3,519,525,,0,20,0,false,9,false,[404_226],true
114,31,58,476,Yearling,male,Susceptible,3,512,512,,0,20,0,false,8,false,[73_112],true
114,32,56,3024,Adult,male,Susceptible,3,514,521,,0,20,0,false,10,false,[11_18],true
114,33,101,2660,Adult,male,Susceptible,4,236,272,,0,20,0,false,10,false,[417_300],true
114,34,100,476,Yearling,male,Susceptible,4,247,273,,0,20,0,false,10,false,[302_267],true
114,35,99,476,Yearling,male,Susceptible,4,244,264,,0,20,0,false,11,false,[341_264],true
114,36,94,476,Yearling,male,Susceptible,4,253,279,,0,20,0,false,9,false,[489_464],true
114,37,92,1568,Adult,male,Susceptible,4,229,258,,0,20,0,false,10,false,[232_225],true
114,38,86,476,Yearling,male,Susceptible,4,225,254,,0,20,0,false,5,false,[96_226],true
114,39,84,476,Yearling,male,Susceptible,4,218,276,,0,20,0,false,9,false,[199_276],true
114,40,83,1568,Adult,male,Susceptible,4,246,278,,0,20,0,false,9,false,[384_532],true
114,41,81,840,Adult,male,Susceptible,4,245,275,,0,20,0,false,10,false,[423_408],true
114,42,80,1568,Adult,male,Susceptible,4,219,261,,0,20,0,false,9,false,[51_98],true
115,1,21,476,Yearling,male,Susceptible,1,194,239,,0,20,0,false,10,false,[319_273],true
115,2,20,2296,Adult,male,Susceptible,1,188,229,,0,20,0,false,13,false,[404_405],true
115,3,18,1932,Adult,male,Susceptible,1,193,233,,0,20,0,false,9,false,[490_319],true
115,4,16,476,Yearling,male,Susceptible,1,181,232,,0,20,0,false,6,false,[362_318],true
115,5,12,1204,Adult,male,Susceptible,1,195,218,,0,20,0,false,5,false,[434_202],true
115,6,5,2660,Adult,male,Susceptible,1,172,200,,0,20,0,false,12,false,[49_94],true
115,7,53,2660,Adult,male,Susceptible,2,348,416,,0,20,0,false,10,false,[348_535],true
115,8,52,1568,Adult,male,Susceptible,2,399,387,,0,20,0,false,13,false,[445_431],true
115,9,51,1568,Adult,male,Susceptible,2,368,359,,0,20,0,false,13,false,[41_45],true
115,10,49,1204,Adult,male,Susceptible,2,382,353,,0,20,0,false,11,false,[449_305],true
115,11,47,1568,Adult,male,Susceptible,2,352,364,,0,20,0,false,8,false,[54_106],true
115,12,45,840,Adult,male,Susceptible,2,383,394,,0,20,0,false,8,false,[501_480],true
115,13,41,2660,Adult,male,Susceptible,2,357,355,,0,20,0,false,6,false,[199_205],true
115,14,38,840,Adult,male,Susceptible,2,358,365,,0,20,0,false,7,false,[165_289],true
115,15,37,1204,Adult,male,Susceptible,2,354,362,,0,20,0,false,12,false,[67_202],true
115,16,36,1932,Adult,male,Susceptible,2,381,395,,0,20,0,false,13,false,[543_515],true
115,17,35,840,Adult,male,Susceptible,2,361,367,,0,20,0,false,13,false,[338_310],true
115,18,32,476,Yearling,male,Susceptible,2,364,357,,0,20,0,false,6,false,[25_47],true
115,19,29,1932,Adult,male,Susceptible,2,358,362,,0,20,0,false,9,false,[191_176],true
115,20,27,840,Adult,male,Susceptible,2,357,372,,0,20,0,false,10,false,[177_188],true
115,21,25,840,Adult,male,Susceptible,2,353,352,,0,20,0,false,11,false,[119_130],true
115,22,23,1204,Adult,male,Susceptible,2,387,390,,0,20,0,false,5,false,[433_431],true
115,23,79,476,Yearling,male,Susceptible,3,511,517,,0,20,0,false,9,false,[185_250],true
115,24,76,840,Adult,male,Susceptible,3,512,513,,0,20,0,false,13,false,[482_467],true
115,25,74,476,Yearling,male,Susceptible,3,518,523,,0,20,0,false,6,false,[422_394],true
115,26,71,476,Yearling,male,Susceptible,3,510,512,,0,20,0,false,9,false,[329_255],true
115,27,67,2296,Adult,male,Susceptible,3,508,509,,0,20,0,false,5,false,[340_487],true
115,28,62,1568,Adult,male,Susceptible,3,521,513,,0,20,0,false,7,false,[18_141],true
115,29,61,1204,Adult,male,Susceptible,3,510,520,,0,20,0,false,7,false,[454_253],true
115,30,60,840,Adult,male,Susceptible,3,511,519,,0,20,0,false,9,false,[404_226],true
115,31,58,476,Yearling,male,Susceptible,3,501,508,,0,20,0,false,8,false,[73_112],true
115,32,56,3024,Adult,male,Susceptible,3,503,515,,0,20,0,false,10,false,[11_18],true
115,33,101,2660,Adult,male,Susceptible,4,251,277,,0,20,0,false,10,false,[417_300],true
115,34,100,476,Yearling,male,Susceptible,4,249,273,,0,20,0,false,10,false,[302_267],true
115,35,99,476,Yearling,male,Susceptible,4,253,264,,0,20,0,false,11,false,[341_264],true
115,36,94,476,Yearling,male,Susceptible,4,260,283,,0,20,0,false,9,false,[489_464],true
115,37,92,1568,Adult,male,Susceptible,4,228,253,,0,20,0,false,10,false,[232_225],true
115,38,86,476,Yearling,male,Susceptible,4,218,246,,0,20,0,false,5,false,[96_226],true
115,39,84,476,Yearling,male,Susceptible,4,210,275,,0,20,0,false,9,false,[199_276],true
115,40,83,1568,Adult,male,Susceptible,4,248,286,,0,20,0,false,9,false,[384_532],true
115,41,81,840,Adult,male,Susceptible,4,251,288,,0,20,0,false,10,false,[423_408],true
115,42,80,1568,Adult,male,Susceptible,4,212,251,,0,20,0,false,9,false,[51_98],true
116,1,21,476,Yearling,male,Susceptible,1,200,244,,0,20,0,false,10,false,[319_273],true
116,2,20,2296,Adult,male,Susceptible,1,188,235,,0,20,0,false,13,false,[404_405],true
116,3,18,1932,Adult,male,Susceptible,1,193,233,,0,20,0,false,9,false,[490_319],true
116,4,16,476,Yearling,male,Susceptible,1,185,239,,0,20,0,false,6,false,[362_318],true
116,5,12,1204,Adult,male,Susceptible,1,206,210,,0,20,0,false,5,false,[434_202],true
116,6,5,2660,Adult,male,Susceptible,1,169,200,,0,20,0,false,12,false,[49_94],true
116,7,53,2660,Adult,male,Susceptible,2,348,436,,0,20,0,false,10,false,[348_535],true
116,8,52,1568,Adult,male,Susceptible,2,399,393,,0,20,0,false,13,false,[445_431],true
116,9,51,1568,Adult,male,Susceptible,2,356,353,,0,20,0,false,13,false,[41_45],true
116,10,49,1204,Adult,male,Susceptible,2,387,353,,0,20,0,false,11,false,[449_305],true
116,11,47,1568,Adult,male,Susceptible,2,355,357,,0,20,0,false,8,false,[54_106],true
116,12,45,840,Adult,male,Susceptible,2,385,395,,0,20,0,false,8,false,[501_480],true
116,13,41,2660,Adult,male,Susceptible,2,352,348,,0,20,0,false,6,false,[199_205],true
116,14,38,840,Adult,male,Susceptible,2,353,358,,0,20,0,false,7,false,[165_289],true
116,15,37,1204,Adult,male,Susceptible,2,348,356,,0,20,0,false,12,false,[67_202],true
116,16,36,1932,Adult,male,Susceptible,2,387,399,,0,20,0,false,13,false,[543_515],true
116,17,35,840,Adult,male,Susceptible,2,355,361,,0,20,0,false,13,false,[338_310],true
116,18,32,476,Yearling,male,Susceptible,2,354,353,,0,20,0,false,6,false,[25_47],true
116,19,29,1932,Adult,male,Susceptible,2,358,362,,0,20,0,false,9,false,[191_176],true
116,20,27,840,Adult,male,Susceptible,2,355,364,,0,20,0,false,10,false,[177_188],true
116,21,25,840,Adult,male,Susceptible,2,347,346,,0,20,0,false,11,false,[119_130],true
116,22,23,1204,Adult,male,Susceptible,2,389,395,,0,20,0,false,5,false,[433_431],true
116,23,79,476,Yearling,male,Susceptible,3,507,506,,0,20,0,false,9,false,[185_250],true
116,24,76,840,Adult,male,Susceptible,3,505,507,,0,20,0,false,13,false,[482_467],true
116,25,74,476,Yearling,male,Susceptible,3,513,517,,0,20,0,false,6,false,[422_394],true
116,26,71,476,Yearling,male,Susceptible,3,503,512,,0,20,0,false,9,false,[329_255],true
116,27,67,2296,Adult,male,Susceptible,3,494,502,,0,20,0,false,5,false,[340_487],true
